timestamp,respondentId,temperatureRelevance,temperatureLabel,humidityRelevance,humidityLabel,airQualityRelevance,airQualityLabel,Q04_otherComfortParameters
2025-09-19T10:12:27.000Z,121,5,Extremely relevant,3,Moderately relevant,5,Extremely relevant,Rumore di fondo 
2025-09-19T10:39:06.000Z,69,4,Very relevant,4,Very relevant,5,Extremely relevant,Spazio della seduta
2025-09-19T11:51:42.000Z,14,5,Extremely relevant,3,Moderately relevant,4,Very relevant,Aria addosso
2025-09-19T10:50:52.000Z,98,5,Extremely relevant,4,Very relevant,4,Very relevant,La luce
2025-09-19T10:35:09.000Z,127,5,Extremely relevant,2,Slightly relevant,5,Extremely relevant,Luminosità
2025-09-19T10:12:52.000Z,21,5,Extremely relevant,4,Very relevant,4,Very relevant,Il rumore
2025-09-19T10:13:37.000Z,134,5,Extremely relevant,4,Very relevant,3,Moderately relevant,No
2025-09-19T10:37:32.000Z,139,4,Very relevant,5,Extremely relevant,4,Very relevant,no
2025-09-19T10:13:57.000Z,176,5,Extremely relevant,2,Slightly relevant,4,Very relevant,L’illuminazione
2025-09-19T11:56:48.000Z,94,4,Very relevant,4,Very relevant,4,Very relevant,Non credo
2025-09-19T11:45:22.000Z,22,5,Extremely relevant,5,Extremely relevant,5,Extremely relevant,qualità del suono
2025-09-19T10:15:00.000Z,12,5,Extremely relevant,5,Extremely relevant,5,Extremely relevant,l' acustica
2025-09-19T10:13:18.000Z,24,5,Extremely relevant,4,Very relevant,5,Extremely relevant,no
2025-09-19T10:14:17.000Z,108,5,Extremely relevant,4,Very relevant,5,Extremely relevant,I posti a sedere
2025-09-19T10:13:00.000Z,62,4,Very relevant,5,Extremely relevant,2,Slightly relevant,No
2025-09-17T14:45:16.000Z,37,5,Extremely relevant,3,Moderately relevant,4,Very relevant,Luminosità
2025-10-08T14:13:27.000Z,95,2,Slightly relevant,3,Moderately relevant,4,Very relevant,no
