timestamp,respondentId,room,comfortValue,comfortLabel,temperatureValue,temperatureLabel,humidityValue,humidityLabel,airQualityValue,airQualityLabel,noiseValue,noiseLabel,degreesValue,degreesLabel,between,and
2025-09-26T14:12:18.000Z,73,Room 2.5,3,Acceptable,0,Optimal,1,Slightly humid,2,Poor,0,Optimal,4,20≥t≥22°C,20,22
2025-09-26T14:13:00.000Z,71,Room 2.5,3,Acceptable,1,Warm,1,Slightly humid,1,Acceptable,0,Optimal,5,23≥t≥25°C,23,25
2025-09-26T14:15:44.000Z,56,Room 2.5,4,Good,-1,Cool,0,Optimal,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-26T14:17:39.000Z,108,Lab 2.2,3,Acceptable,0,Optimal,1,Slightly humid,1,Acceptable,0,Optimal,3,17≥t≥19°C,17,19
2025-09-26T14:31:26.000Z,77,Room 2.5,3,Acceptable,0,Optimal,1,Slightly humid,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-26T14:31:47.000Z,110,Room 2.5,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,0,Optimal,6,26≥t≥28°C,26,28
2025-09-26T14:32:57.000Z,126,Room 2.5,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,0,Optimal,3,17≥t≥19°C,17,19
2025-09-26T14:37:23.000Z,53,Room 2.5,5,Excellent,0,Optimal,0,Optimal,0,Optimal,0,Optimal,5,23≥t≥25°C,23,25
2025-09-26T14:37:29.000Z,155,Room 2.5,4,Good,1,Warm,1,Slightly humid,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-26T14:37:45.000Z,60,Room 2.5,4,Good,0,Optimal,1,Slightly humid,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-26T14:41:23.000Z,183,Room 2.5,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-26T14:41:35.000Z,65,Room 2.5,4,Good,0,Optimal,0,Optimal,0,Optimal,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-26T14:45:22.000Z,13,Lab 2.2,2,Poor,1,Warm,0,Optimal,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-26T14:45:48.000Z,186,Room 2.5,3,Acceptable,0,Optimal,-1,Slightly arid,0,Optimal,0,Optimal,4,20≥t≥22°C,20,22
2025-09-26T15:00:37.000Z,7,Lab 2.2,4,Good,-1,Cool,1,Slightly humid,1,Acceptable,1,Slightly noisy,3,17≥t≥19°C,17,19
2025-09-26T15:06:15.000Z,45,Room 2.5,4,Good,0,Optimal,0,Optimal,0,Optimal,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-26T16:06:02.000Z,150,Room 2.5,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-26T19:22:47.000Z,95,Room 2.5,4,Good,0,Optimal,0,Optimal,0,Optimal,0,Optimal,3,17≥t≥19°C,17,19
2025-09-26T19:52:06.000Z,24,Lab 2.2,4,Good,0,Optimal,0,Optimal,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-30T08:44:10.000Z,102,Room 2.12,4,Good,1,Warm,-1,Slightly arid,1,Acceptable,1,Slightly noisy,5,23≥t≥25°C,23,25
2025-09-30T10:35:20.000Z,112,Room 2.12,4,Good,0,Optimal,0,Optimal,0,Optimal,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T12:07:55.000Z,163,Room 2.12,4,Good,0,Optimal,0,Optimal,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T12:19:17.000Z,57,Room 2.12,4,Good,0,Optimal,0,Optimal,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-30T12:19:31.000Z,127,Room 2.12,3,Acceptable,0,Optimal,1,Slightly humid,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T12:19:49.000Z,121,Room 2.12,3,Acceptable,0,Optimal,0,Optimal,0,Optimal,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T12:20:19.000Z,100,Room 2.12,5,Excellent,0,Optimal,0,Optimal,0,Optimal,0,Optimal,5,23≥t≥25°C,23,25
2025-09-30T12:20:30.000Z,2,Room 2.12,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-30T12:20:48.000Z,54,Room 2.12,4,Good,0,Optimal,1,Slightly humid,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
